blend_id,name,badge_line_1,badge_line_2,roast_level,note_1,note_2,note_3,highlighted_note,description,bottom_mode,roast_date,accent_color,texture_path
70-medium,קלאסי,קלאסי,70% ערביקה,קלייה בינונית,שוקולדי,מוקה,קרמל,1,"זני ערביקה ממרכז ודרום אמריקה הם הבסיס העשיר של הארומה השוקולדית והטעם המתקתק לאיזון, זני הרובוסטה האסייתיים והאפריקאים מוסיפים טעמים מרירים וחזקים. התוצאה היא קפה לאספרסו עשיר בטעם מורכב עם ריכוז ארומות נהדר המשאיר בפה טעם עגול וחלק של שוקולד מוקה וקרמל , טעם של אספרסו איטלקי קלאסי",roast_date,19/05/2026,#703324,textures/70-medium.jpg
ravello-medium,רוולו בינונית כהה,תערובת Ravello,70% ערביקה,קלייה בינונית,שוקולדי,אגוזי,מוקה,2,קפה שפגשנו בעיירה Ravello – דרום איטליה. בית קלייה מקומי רקח זני ערביקה בטעמי אגוז יחד עם זן רובוסטה הודי. התוצאה נהדרת: קפה שופע בטעמי שוקולד מוקה ואגוז עם גוף מלא והמון קרמה.,roast_date,19/05/2026,#703324,textures/ravello-medium.jpg
napoli,נפולי,נפולי,50% ערביקה,קלייה בינונית,שוקולדי,חזק,מוקה,1,"תערובת עוצמתית המאופיינת בטעמי שוקולד המשתלבים יחד עם מרירות נעימה וגוף מלא של קרמה בצבע אגוז. השילוב בין זני הערביקה לזני הרובוסטה יוצרים טעם חזק ושוקולדי עם טעמי מוקה, הממלא את חלל הפה גם לאחר הלגימה.",roast_date,19/05/2026,#703324,textures/napoli.jpg
culombia-dark,קולומביה סופרימו  בינונית כהה,קולומביה סופרימו,100% ערביקה,קלייה בינונית כהה,שוקולדי,תפוח ירוק,מוקה,1,"קולומביה סופרימו הינו קפה מקבוצת זני הערביקה, עם ניחוח פירותי מיוחד גוף בינוני , טעם עשיר המתאפיין בחמוציות פירותית  של תפוח ירוק בקלייה בינונית כהה מתווספים טעמים שוקולדיים.",roast_date,19/05/2026,#000000,textures/culombia-dark.jpg
100-dark,שפע טעמים בינונית כהה,שפע טעמים,100% ערביקה,קלייה בינונית כהה,דובדבנים,תפוז,שוקולדי,3,זני הערביקה נותנים שפע של טעמים פירותיים : דובדבנים ותפוז הקלייה היותר כהה נותנת גם טעמי שוקולד.,roast_date,19/05/2026,#351e18,textures/100-dark.jpg
peru-dark,פרו בינונית כהה,פרו,100% ערביקה,קלייה בינונית כהה,דבש,קקאו,שוקולד חלב,2,זן ערביקה אורגני מהגבהים של פרו. בעל טעמים נעימים של שוקולד חלב וקקאו. אחרי הלגימה נרגיש במתיקות מעודנת עם רמזים לטעמים של דבש.,roast_date,19/05/2026,#351e18,textures/peru-dark.jpg
tanzania-dark,טנזניה בינונית כהה,טנזניה קלימנג׳רו,100% ערביקה,קלייה בינונית כהה,פטל,קרמל,שוקולד מריר,2,"זן ערביקה עשיר בטעמים  של קקאו פטל ודבש, הסיומת ארוכה וטעם הפטל ממשיך  להדהד בחלל הפה לדקות ארוכות.",roast_date,19/05/2026,#351e18,textures/tanzania-dark.jpg
abba-dark,אבבה בינונית כהה,אתיופיה אבבה,-,קלייה בינונית כהה,חזק,שוקולד מריר,צימוקים,1,"אתיופיה אבבה הוא קפה ערביקה עם הרבה נוכחות של טעמי שוקולד מריר שונתנים לו טעמי שוקולד וחוזק, ברקע מתיקות פירותית המזכירה טעמי צימוקי ענבים. הסיומת ארוכה, גוף מלא עם קרמה עשירה.",roast_date,19/05/2026,#351e18,textures/abba-dark.jpg
djima-dark,דג׳ימה בינונית כהה,אתיופיה דג׳ימה,100% ערביקה,קלייה בינונית כהה,חזק,שוקולד מריר,יין,1,"זן ערביקה בעל שילוב טעמים נהדר, בעת הלגימה נרגיש בעיקר את המרירות השוקולדית המודגשת בקלייה היתר כהה, עם נגיעות יין אדום ברקע. אחרי הלגימה עם סיומת ארוכה יתווספו טעמי קקאו עדינים.",roast_date,19/05/2026,#000000,textures/djima-dark.jpg
forte,נפולי פורטה,נפולי פורטה,50% ערביקה,קלייה כהה,חזק,מעושן,מוקה,1,"הנפולי פורטה היא תערובת שאנו קולים בקלייה כהה ומורכבת מזנים המדגישים את הטעם החזק והמעושן המורגש היטב עם הלגימה וממשיך להדהד בחלל הפה זמן רב אחרי הלגימה . תערובת דרום איטלקית קלאסית, כך אוהבים הנפוליטנים לשתות את האספרסו שלהם בבוקר – חזק אש ושופע טעמי מוקה.",roast_date,19/05/2026,#000000,textures/forte.jpg
cherry,שרי רובוסטה,שרי הודו,רובוסטה,קלייה בינונית,אדמתי,טעמי עץ,מרציפן,1,קפה מקבוצת זני הרובוסטה.,roast_date,19/05/2026,#000000,textures/cherry.jpg
vietnam-robusta,ויאטנם רובוסטה,ויאטנם,רובוסטה,קלייה בינונית,אדמתי,טעמי עץ,תה שחור,1,"הויאטנם הינו קפה מקבוצת זני הרובוסטה, מאופיין בטעם של מרירות אדמתית נעימה עם קורט טעמי דגנים.",roast_date,19/05/2026,#000000,textures/vietnam-robusta.jpg
culombia-medium,קולומביה בינוני,קולומביה,סופרימו,קלייה בינונית,פירותי,תפוח ירוק,דבש,1,"קולומביה סופרימו הינו קפה מקבוצת זני הערביקה, עם ניחוח פירותי מיוחד גוף בינוני, טעם עשיר המתאפיין בחמוציות פירותית של תפוח ירוק, לאחר הלגימה מתפרסים בפה טעמים מתוקים המהדהדים קרמל ודבש.",roast_date,19/05/2026,#000000,textures/culombia-medium.jpg
goji-medium,גוג׳י בינוני,אתיופיה,גוג׳י,קלייה בינונית,פירותי,סוכר חום,אפרסק,1,"זן ערביקה אתיופי הגדל באזור גוג’י שבמחוז סידמו.

בעל טעמים פירותיים מתיקות עשירה של סוכר חום הסיומת הארוכה והעגולה משאירה בפה טעמי אפרסק",roast_date,19/05/2026,#000000,textures/goji-medium.jpg
costa-rica-medium,קוסטה ריקה בינונית,קוסטה ריקה,-,קלייה בינונית,קקאו,קרמל,תפוח ירוק,1,קפה מקבוצת זני הערביקה  בעל ארומה עדינה וייחודית. החמיצות הקלה של הקוסטה ריקה מאפשרת לחוש בטעמי  קרמל תפוח ירוק וקקאו. אחרי הלגימה ישנה תחושה נעימה של טעמי אגס המתגלגלת בחלל הפה לאורך זמן.,roast_date,19/05/2026,#000000,textures/costa-rica-medium.jpg
yirgashef-medium,ייגרשף בינונית,אתיופיה,יירגשף,קלייה בינונית,וניל,תבלינים,תה,3,"האתיופיה ייגרשף הינו קפה מקבוצת זני הערביקה. הוא מאופיין במתיקות נעימה המזכירה וניל וארומה עוצמתית. עם טעם מורכב של פירות, תה ותבלינים הנותנים לו אופי פיקנטי. בשל איכותו הגבוהה הוא מדורג גבוה בתחרויות טעימה ונחשב לאחד מזני הערביקה הטובים ביותר.",roast_date,19/05/2026,#000000,textures/yirgashef-medium.jpg
mj-medium,mj בינונית,MokaDjima,100% ערביקה,קלייה בינונית,פירותי,אגוזי,שוקולד חלב,1,"שני זנים אתיופים נותנים לתערובת טעמי אגוז, שוקולד וקקאו, הזן הנוסף הוא קולומביה סופרימו הנותן טעם קרמלי עם מתיקות עשירה – מתקבל אספרסו מאוזן בעל תווים שוקולדים ופירותיים.",roast_date,19/05/2026,#000000,textures/mj-medium.jpg
100-medium,שפע בינונית,שופע טעמים,100% ערביקה,קלייה בינונית,אפרסק,קרמל,ענבים,2,"תערובת על טהרת זני הערביקה, היוצרת חגיגה של ארומה מתקתקה של קרמל וחמיצות פירותית של טעמי  אפרסק וענבים.",roast_date,19/05/2026,#000000,textures/100-medium.jpg
limo-medium,לימו בינונית,אתיופיה,לימו,קלייה בינונית,פירות טרופיים,מוקה,פיקנטי,1,"אתיופיה לימו הינו קפה מקבוצת זני הערביקה . בעל חמיצות מודגשת ונעימה של פירות טרופיים, קורט של טעם תבליני
ומתיקות של ענבים ברקע, אחרי הלגימה הפירותיות מהדהדת בפה לרגעים ארוכים.",roast_date,19/05/2026,#000000,textures/limo-medium.jpg
sidamo-medium,סידמו בינונית,אתיופיה,סידמו,קלייה בינונית,פירות טרופיים,אננס,קקאו,1,"אתיופיה סידמו הינו קפה מקבוצת זני הערביקה. בעל פירותיות מודגשת ונעימה של אננס וקקאו, אחרי הלגימה הטעמים הללו מודגשים יותר ונוספים להם מעט טעמי דבש. בזכות טעמו המשובח הוא נחשב לאצולת זני הערביקה.",roast_date,19/05/2026,#000000,textures/sidamo-medium.jpg
peru-medium,פרו בינונית,פרו,-,קלייה בינונית,פירות יער,שזיף,תות,1,"זן ערביקה מעולה המאופיין בטעמים עשירים של תות ושזיף,  הטעמים הפירותים מהדהדים בפה לאורך זמן, בסיומת האנינים יבחינו בטעם תבליני עדין.",roast_date,19/05/2026,#000000,textures/peru-medium.jpg
sumatra-medium,סומטרה בינונית,סומטרה,מנדליניג,קלייה בינונית,פירות יער,אוכמניות,אגוזי,1,"סומטרה הינו קפה מקבוצת זני הערביקה המאופיין בחמיצות נעימה של אוכמניות וקקאו עם קורט אגוז, הטעם החמצמץ מהדהד בעת הלגימה ומשתלב היטב עם השארות הטעם של הקקאו.",roast_date,19/05/2026,#000000,textures/sumatra-medium.jpg
png-medium,פפואה בינונית,פפואה ניוגיני,-,קלייה בינונית,פירות יער,פטל,תפוח ירוק,1,"פפואה ניוגיני הוא מקבוצת זני הערביקה. בעל גוף בינוני, בעת הלגימה מורגשים טעמי  תפוח ירוק המשתלבים עם טעמים מפתיעים של פטל ופירות יער ומעט תיבול של ציפורן. התוצאה: תחושה של קפה פיראי שבא ישר מהיער.",roast_date,19/05/2026,#000000,textures/png-medium.jpg
tanzania-medium,טנזניה בינונית,קלימנג׳רו,טנזניה,קלייה בינונית,פטל,דבש,קקאו,1,"זן ערביקה עשיר בטעמים  של קקאו פטל ודבש, הסיומת ארוכה וטעם הפטל ממשיך  להדהד בחלל הפה לדקות ארוכות.",roast_date,19/05/2026,#000000,textures/tanzania-medium.jpg
guatamala-medium,גואטמלה בינונית,גואטמלה,-,קלייה בהירה,פטל,יסמין,מייפל,1,"זן ערביקה המאופיין הודות לקלייה הבהירה, בשפע  טעמי  פירות יער בעיקר של פטל, עם מתיקות עדינה המזכירה מייפל.

בהמשך הלגימה מופיעים טעמים של אגוזים קלויים, הגוף בינוני עם מרקם קרמי והסיומת נקייה וארוכה עם רמזים  של טעמי יסמין.",roast_date,19/05/2026,#000000,textures/guatamala-medium.jpg
guatamala-light,גואטמלה בהיר,גואטמלה,-,קלייה בהירה,פטל,יסמין,מייפל,1,"זן ערביקה המאופיין הודות לקלייה הבהירה, בשפע  טעמי  פירות יער בעיקר של פטל, עם מתיקות עדינה המזכירה מייפל.

בהמשך הלגימה מופיעים טעמים של אגוזים קלויים, הגוף בינוני עם מרקם קרמי והסיומת נקייה וארוכה עם רמזים  של טעמי יסמין.",roast_date,19/05/2026,#000000,textures/guatamala-light.jpg
barsil-mesium,ברזיל בינונית,ברזיל סרדו,,קלייה בינונית,מתיקות,קרמל,תפוז,1,"קפה ערביקה נהדר עם טעמים קלאסיים.  מתאפיין בטעם מתקתק, פירותיות בינונית של טעמי תפוז וטעמי שוקולד מריר. גוף בינוני סיומת ארוכה של טעמי מתיקות קרמליים.",roast_date,19/05/2026,#000000,textures/barsil-mesium.jpg
